LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
5153	5746	6932	7524	8711	9304	1
10364	10374	10394	10404	10424	10434	2
13154	13503	14200	14548	15245	15594	1
14566	14661	14849	14943	15130	15224	2
16744	16813	16951	17020	17158	17227	3
26687	26778	26961	27052	27235	27326	2
27332	27342	27363	27373	27395	27405	2
28240	28619	29001	29689	30111	30802	2
28630	28633	28641	28645	28652	28655	2
29954	29958	29963	29967	29972	29976	1
30905	31602	31834	33065	34389	36316	2
34913	34917	34928	34932	34943	34947	1
39597	39605	39623	39632	39651	39660	1
43846	43850	43854	43857	43861	43865	1
43992	44037	44129	44175	44265	44311	2
52179	52187	52205	52214	52233	52242	1
57017	57760	59248	59991	61478	62221	2
58964	58976	58998	59010	59034	59045	1
60577	60592	60619	60633	60661	60675	1
63237	63312	63389	63475	63560	63643	2
64285	64298	64326	64340	64366	64380	2
80684	80919	81107	81585	81616	81729	3
81641	81800	81945	82983	83088	83279	3
83502	83694	84080	84272	84657	84850	2
84958	85595	86099	87132	87779	88422	3
87282	87291	87307	87316	87333	87341	2
87365	87371	87384	87389	87402	87408	2
93345	93472	93726	93853	94106	94233	2
94596	94761	94896	95069	95331	95618	2
95814	95888	95931	96183	96193	96223	2
95870	96187	96819	97135	97768	98085	1
96214	96227	96258	96432	96505	96540	2
96505	96540	96562	96649	96666	96694	2
97962	98039	98195	98274	98430	98508	3
