LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_index	TQP_Start_Index	TQP_End_Index	QualityFlag
171	1138	2747	3344	3890	4681	3
1162	1167	1192	1195	1205	1210	2
12002	12105	12740	12825	13019	13152	2
23532	23552	23593	23613	23655	23675	2
24453	24456	24460	24462	24468	24470	1
24797	24821	24861	24876	24926	24942	2
24950	24957	24964	24971	24977	24985	2
28418	28443	28494	28519	28571	28596	3
29425	29456	29515	29545	29606	29635	1
29979	30070	30249	30325	30411	30506	2
30773	30797	30845	30869	30917	30941	1
30840	30864	30912	30937	30985	31009	2
31213	31254	31299	31330	31348	31385	2
31248	31251	31257	31259	31266	31268	1
31346	31374	31429	31458	31472	31506	2
31512	31599	31644	31765	31837	31948	3
31921	31969	32065	32113	32209	32257	2
34640	35045	35322	35625	35697	35898	3
35213	35362	35658	35807	36105	36252	1
35693	35891	36013	36706	37199	37976	2
36699	37131	37996	38429	39294	39727	1
37621	37627	37637	37643	37654	37659	1
47021	47108	47281	47368	47541	47628	1
53061	53072	53101	53104	53133	53144	2
53927	53934	53954	53955	53962	53968	2
59445	59501	59615	59671	59784	59840	1
59838	59915	60068	60145	60297	60373	1
59973	59981	60022	60029	60036	60045	2
60491	60560	60696	60764	60900	60967	2
71335	71409	71558	71633	71782	71857	2
80066	80070	80079	80084	80093	80098	2
80118	80134	80166	80182	80214	80230	1
80463	80470	80481	80487	80499	80505	2
82805	82818	82844	82857	82883	82896	2
83422	83441	83455	83469	83497	83511	2
84503	84505	84512	84514	84520	84523	1
84634	84638	84642	84644	84650	84652	2
87835	87845	87850	87859	87866	87875	2
87956	87959	87972	87974	87985	87987	2
89846	89849	89855	89857	89864	89866	1
94974	94982	94998	95006	95022	95030	1
96342	96346	96363	96366	96371	96375	2
105280	105315	105328	105362	105392	105417	3
108933	108937	108977	108982	108991	108996	2
